[2018-05-30 09:54:08] "Practica1";Group2;123;"KKV";1527663248594;09:54:08;1;00:03:480;
[2018-05-30 09:54:08] "Practica1";Group2;1111;"Нифка";1527663248639;09:54:08;1;00:03:525;
[2018-05-30 09:54:11] "Practica1";Group2;123;"KKV";1527663251613;09:54:11;2;00:03:019;
[2018-05-30 09:54:11] "Practica1";Group2;1111;"Нифка";1527663251724;09:54:11;2;00:03:085;
[2018-05-30 09:54:15] "Practica1";Group2;123;"KKV";1527663255019;09:54:15;3;00:03:406;
[2018-05-30 09:54:15] "Practica1";Group2;1111;"Нифка";1527663255186;09:54:15;3;00:03:462;
[2018-05-30 22:35:47] "Practica1";Group1;1359;"Maloii";1527708947780;22:35:47;1;00:52:557;
[2018-05-30 22:36:26] "Practica1";Group1;1359;"Maloii";1527708986927;22:36:26;2;00:39:147;
[2018-05-30 22:37:23] "Practica1";Group1;1359;"Maloii";1527709043817;22:37:23;3;00:56:890;
[2018-05-30 22:38:02] "Practica1";Group1;1359;"Maloii";1527709082598;22:38:02;4;00:38:781;
[2018-05-30 22:41:23] "Practica1";Group1;1364;"KKV";1527709283923;22:41:23;1;01:25:107;
[2018-05-30 22:41:26] "Practica1";Group1;1359;"Maloii";1527709286884;22:41:26;1;01:03:265;
[2018-05-30 23:35:22] "Practica1";Group1;1364;"KKV";1527712522863;23:35:22;1;00:24:414;
[2018-05-30 23:36:35] "Practica1";Group1;1364;"KKV";1527712595565;23:36:35;2;01:12:702;
[2018-05-30 23:36:57] "Practica1";Group1;1364;"KKV";1527712617890;23:36:57;3;00:22:325;
[2018-05-30 23:37:07] "Practica1";Group1;1359;"Maloii";1527712627266;23:37:07;1;01:40:506;
[2018-05-30 23:37:19] "Practica1";Group1;1364;"KKV";1527712639169;23:37:19;4;00:21:279;
[2018-05-30 23:37:46] "Practica1";Group1;1359;"Maloii";1527712666736;23:37:46;2;00:39:470;
[2018-05-30 23:37:50] "Practica1";Group1;1364;"KKV";1527712670600;23:37:50;5;00:31:431;
[2018-05-30 23:38:09] "Practica1";Group1;1364;"KKV";1527712689793;23:38:09;6;00:19:193;
[2018-05-30 23:39:09] "Practica1";Group1;1364;"KKV";1527712749594;23:39:09;7;00:59:801;
[2018-05-30 23:39:28] "Practica1";Group1;1364;"KKV";1527712768404;23:39:28;8;00:18:810;
[2018-05-30 23:40:15] "Practica1";Group1;1359;"Maloii";1527712815309;23:40:15;3;02:28:573;
[2018-05-30 23:40:44] "Practica1";Group1;1359;"Maloii";1527712844877;23:40:44;4;00:29:568;
[2018-05-30 23:41:21] "Practica1";Group1;1359;"Maloii";1527712881648;23:41:21;5;00:36:771;
[2018-05-30 23:42:10] "Practica1";Group1;1359;"Maloii";1527712930328;23:42:10;6;00:48:680;
[2018-05-30 23:42:33] "Practica1";Group1;1359;"Maloii";1527712953950;23:42:33;7;00:23:622;
[2018-05-30 23:42:49] "Practica1";Group1;1364;"KKV";1527712969448;23:42:49;9;03:21:044;
[2018-05-30 23:43:30] "Practica1";Group1;1364;"KKV";1527713010982;23:43:30;10;00:41:534;
[2018-05-30 23:44:37] "Practica1";Group1;1359;"Maloii";1527713077236;23:44:37;8;02:03:286;
[2018-05-30 23:44:50] "Practica1";Group1;1320;"Ujjin";1527713090278;23:44:50;1;00:38:528;
[2018-05-30 23:45:14] "Practica1";Group1;1320;"Ujjin";1527713114509;23:45:14;2;00:24:231;
[2018-05-30 23:47:48] "Practica1";Group1;1359;"Maloii";1527713268009;23:47:48;9;03:10:773;
[2018-05-30 23:49:07] "Practica1";Group1;1320;"Ujjin";1527713347367;23:49:07;3;03:52:858;
[2018-05-30 23:49:09] "Practica1";Group1;1359;"Maloii";1527713349960;23:49:09;10;01:21:951;
[2018-05-30 23:50:32] "Practica1";Group1;1359;"Maloii";1527713432866;23:50:32;11;01:22:906;
[2018-05-30 23:50:45] "Practica1";Group1;1320;"Ujjin";1527713445106;23:50:45;4;01:37:739;
[2018-05-30 23:50:58] "Practica1";Group1;1359;"Maloii";1527713458158;23:50:58;12;00:25:292;
[2018-05-30 23:51:16] "Practica1";Group1;1320;"Ujjin";1527713476122;23:51:16;5;00:31:016;
[2018-05-30 23:51:26] "Practica1";Group1;1359;"Maloii";1527713486997;23:51:26;13;00:28:839;
[2018-05-30 23:51:43] "Practica1";Group1;1320;"Ujjin";1527713503842;23:51:43;6;00:27:720;
[2018-05-30 23:51:57] "Practica1";Group1;1359;"Maloii";1527713517574;23:51:57;14;00:30:577;
[2018-05-30 23:52:11] "Practica1";Group1;1320;"Ujjin";1527713531700;23:52:11;7;00:27:858;
[2018-05-30 23:52:29] "Practica1";Group1;1359;"Maloii";1527713549112;23:52:29;15;00:31:538;
[2018-05-30 23:52:36] "Practica1";Group1;1320;"Ujjin";1527713556168;23:52:36;8;00:24:468;
[2018-05-30 23:53:10] "Practica1";Group1;1320;"Ujjin";1527713590973;23:53:10;9;00:34:805;
[2018-05-30 23:53:42] "Practica1";Group1;1320;"Ujjin";1527713622718;23:53:42;10;00:31:745;
[2018-05-30 23:54:11] "Practica1";Group1;1320;"Ujjin";1527713651981;23:54:11;11;00:29:263;
[2018-05-30 23:54:20] "Practica1";Group1;1359;"Maloii";1527713660315;23:54:20;16;01:51:203;
[2018-05-30 23:54:42] "Practica1";Group1;1359;"Maloii";1527713682499;23:54:42;17;00:22:184;
[2018-05-30 23:58:02] "Practica1";Group1;1359;"Maloii";1527713882626;23:58:02;18;03:20:127;
[2018-05-30 23:58:25] "Practica1";Group1;1359;"Maloii";1527713905528;23:58:25;19;00:22:902;
[2018-05-30 23:58:54] "Practica1";Group1;1359;"Maloii";1527713934901;23:58:54;20;00:29:373;
[2018-05-30 23:59:17] "Practica1";Group1;1359;"Maloii";1527713957235;23:59:17;21;00:22:334;
[2018-05-31 00:00:08] "Practica1";Group1;1359;"Maloii";1527714008357;00:00:08;22;00:51:122;
[2018-05-31 00:00:40] "Practica1";Group1;1359;"Maloii";1527714040382;00:00:40;23;00:32:025;
[2018-05-31 00:02:44] "Practica1";Group1;1320;"Ujjin";1527714164488;00:02:44;12;08:32:507;
[2018-05-31 00:02:57] "Practica1";Group1;1359;"Maloii";1527714177687;00:02:57;24;02:17:305;
[2018-05-31 00:03:14] "Practica1";Group1;1320;"Ujjin";1527714194683;00:03:14;13;00:30:195;
[2018-05-31 00:03:19] "Practica1";Group1;1359;"Maloii";1527714199193;00:03:19;25;00:21:506;
[2018-05-31 00:03:41] "Practica1";Group1;1359;"Maloii";1527714221106;00:03:41;26;00:21:913;
[2018-05-31 00:03:44] "Practica1";Group1;1320;"Ujjin";1527714224864;00:03:44;14;00:30:181;
[2018-05-31 00:04:10] "Practica1";Group1;1320;"Ujjin";1527714250412;00:04:10;15;00:25:548;
[2018-05-31 00:04:33] "Practica1";Group1;1320;"Ujjin";1527714273842;00:04:33;16;00:23:430;
[2018-05-31 00:05:02] "Practica1";Group1;1320;"Ujjin";1527714302073;00:05:02;17;00:28:231;
[2018-05-31 00:05:39] "Practica1";Group1;1320;"Ujjin";1527714339197;00:05:39;18;00:37:124;
[2018-05-31 00:05:50] "Practica1";Group1;1359;"Maloii";1527714350078;00:05:50;27;02:08:972;
[2018-05-31 00:06:03] "Practica1";Group1;1320;"Ujjin";1527714363340;00:06:03;19;00:24:143;
[2018-05-31 00:06:22] "Practica1";Group1;1359;"Maloii";1527714382578;00:06:22;28;00:32:500;
[2018-05-31 00:08:12] "Practica1";Group1;1359;"Maloii";1527714492875;00:08:12;1;00:22:114;
[2018-05-31 00:08:33] "Practica1";Group1;1359;"Maloii";1527714513382;00:08:33;2;00:20:507;
[2018-05-31 00:08:51] "Practica1";Group1;1359;"Maloii";1527714531452;00:08:51;3;00:18:070;
[2018-05-31 00:09:10] "Practica1";Group1;1359;"Maloii";1527714550551;00:09:10;4;00:19:099;
[2018-05-31 00:09:28] "Practica1";Group1;1375;"Юджин";1527714568880;00:09:28;1;00:27:306;
[2018-05-31 00:09:33] "Practica1";Group1;1359;"Maloii";1527714573642;00:09:33;5;00:23:091;
[2018-05-31 00:09:52] "Practica1";Group1;1375;"Юджин";1527714592777;00:09:52;2;00:23:897;
